service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                                                                                                                                                                                                                                       
2022-09-012022-12-10006031,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-23006051,1,1,1,1,1,1,1,20220901,20221023                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10006061,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-022022-10-21006081,1,1,1,1,1,1,1,20220902,20221021                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-23006091,1,1,1,1,1,1,1,20220901,20221023                                                                                                                                                                                                                                                                                                    
2022-10-242022-12-10006091,1,1,1,1,1,1,1,20221024,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-23006092,1,1,1,1,1,1,1,20220901,20221023                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10006101,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-23006121,1,1,1,1,1,1,1,20220901,20221023                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-23006131,1,1,1,1,1,1,1,20220901,20221023                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006211,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006212,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006213,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006214,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006221,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006222,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006223,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006224,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006225,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006226,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006251,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006252,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006253,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006254,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006261,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006262,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006263,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006264,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006265,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006266,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006311,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006313,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006314,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006321,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006322,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006323,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-09006324,1,1,1,1,1,1,1,20220901,20221009                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-05006941,1,1,1,1,1,1,1,20220901,20220905                                                                                                                                                                                                                                                                                                    
2022-09-062022-09-14006941,1,1,1,1,1,1,1,20220906,20220914                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-05006942,1,1,1,1,1,1,1,20220901,20220905                                                                                                                                                                                                                                                                                                    
2022-09-062022-09-14006942,1,1,1,1,1,1,1,20220906,20220914                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-05006971,1,1,1,1,1,1,1,20220901,20220905                                                                                                                                                                                                                                                                                                    
2022-09-062022-09-14006971,1,1,1,1,1,1,1,20220906,20220914                                                                                                                                                                                                                                                                                                    
2022-09-012022-09-05006972,1,1,1,1,1,1,1,20220901,20220905                                                                                                                                                                                                                                                                                                    
2022-09-062022-09-14006972,1,1,1,1,1,1,1,20220906,20220914                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10007011,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10007012,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10007021,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-12-10007022,1,1,1,1,1,1,1,20220901,20221210                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-23007051,1,1,1,1,1,1,1,20220901,20221023                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-23007061,1,1,1,1,1,1,1,20220901,20221023                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-23008011,1,1,1,1,1,1,1,20220901,20221023                                                                                                                                                                                                                                                                                                    
2022-09-012022-10-11008021,1,1,1,1,1,1,1,20220901,20221011                                                                                                                                                                                                                                                                                                    
2022-10-132022-10-21008021,1,1,1,1,1,1,1,20221013,20221021                                                                                                                                                                                                                                                                                                    
2022-09-042022-09-09010711,1,1,1,1,1,1,1,20220904,20220909                                                                                                                                                                                                                                                                                                    
2022-09-112022-09-14010711,1,1,1,1,1,1,1,20220911,20220914                                                                                                                                                                                                                                                                                                    
2022-09-152022-09-16010711,1,1,1,1,1,1,1,20220915,20220916                                                                                                                                                                                                                                                                                                    
2022-09-172022-09-17010711,1,1,1,1,1,1,1,20220917,20220917                                                                                                                                                                                                                                                                                                    
2022-09-182022-09-23010711,1,1,1,1,1,1,1,20220918,20220923                                                                                                                                                                                                                                                                                                    
2022-09-252022-09-30010711,1,1,1,1,1,1,1,20220925,20220930                                                                                                                                                                                                                                                                                                    
2022-10-022022-10-07010711,1,1,1,1,1,1,1,20221002,20221007                                                                                                                                                                                                                                                                                                    
2022-10-092022-10-11010711,1,1,1,1,1,1,1,20221009,20221011                                                                                                                                                                                                                                                                                                    
2022-10-132022-10-14010711,1,1,1,1,1,1,1,20221013,20221014                                                                                                                                                                                                                                                                                                    
