service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                                                                                                                                                                                                                                       
2022-07-282022-10-23006091,1,1,1,1,1,1,1,20220728,20221023                                                                                                                                                                                                                                                                                                    
2022-10-242022-12-10006091,1,1,1,1,1,1,1,20221024,20221210                                                                                                                                                                                                                                                                                                    
2022-07-282022-10-23006092,1,1,1,1,1,1,1,20220728,20221023                                                                                                                                                                                                                                                                                                    
2022-07-282022-12-10006101,1,1,1,1,1,1,1,20220728,20221210                                                                                                                                                                                                                                                                                                    
2022-08-282022-10-23006121,1,1,1,1,1,1,1,20220828,20221023                                                                                                                                                                                                                                                                                                    
2022-07-282022-07-31006131,1,1,1,1,1,1,1,20220728,20220731                                                                                                                                                                                                                                                                                                    
2022-08-262022-10-23006131,1,1,1,1,1,1,1,20220826,20221023                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006211,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006212,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006213,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006214,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006221,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006222,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006223,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006224,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006225,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006226,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006251,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006252,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006253,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006254,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006261,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006262,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006263,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006264,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006265,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-11006266,1,1,1,1,1,1,1,20220728,20220911                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-18006311,1,1,1,1,1,1,1,20220728,20220918                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-18006312,1,1,1,1,1,1,1,20220728,20220918                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-18006313,1,1,1,1,1,1,1,20220728,20220918                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-18006314,1,1,1,1,1,1,1,20220728,20220918                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-18006321,1,1,1,1,1,1,1,20220728,20220918                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-18006322,1,1,1,1,1,1,1,20220728,20220918                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-18006323,1,1,1,1,1,1,1,20220728,20220918                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-18006324,1,1,1,1,1,1,1,20220728,20220918                                                                                                                                                                                                                                                                                                    
2022-07-282022-09-18006325,1,1,1,1,1,1,1,20220728,20220918                                                                                                                                                                                                                                                                                                    
2022-07-282022-07-31006941,1,1,1,1,1,1,1,20220728,20220731                                                                                                                                                                                                                                                                                                    
2022-08-012022-09-05006941,1,1,1,1,1,1,1,20220801,20220905                                                                                                                                                                                                                                                                                                    
2022-07-282022-07-31006971,1,1,1,1,1,1,1,20220728,20220731                                                                                                                                                                                                                                                                                                    
2022-08-012022-09-05006971,1,1,1,1,1,1,1,20220801,20220905                                                                                                                                                                                                                                                                                                    
2022-07-282022-12-10007011,1,1,1,1,1,1,1,20220728,20221210                                                                                                                                                                                                                                                                                                    
2022-07-282022-12-10007012,1,1,1,1,1,1,1,20220728,20221210                                                                                                                                                                                                                                                                                                    
2022-07-282022-12-10007021,1,1,1,1,1,1,1,20220728,20221210                                                                                                                                                                                                                                                                                                    
2022-07-282022-12-10007022,1,1,1,1,1,1,1,20220728,20221210                                                                                                                                                                                                                                                                                                    
2022-07-282022-10-23007051,1,1,1,1,1,1,1,20220728,20221023                                                                                                                                                                                                                                                                                                    
2022-07-282022-10-23007061,1,1,1,1,1,1,1,20220728,20221023                                                                                                                                                                                                                                                                                                    
2022-07-282022-10-23008011,1,1,1,1,1,1,1,20220728,20221023                                                                                                                                                                                                                                                                                                    
2022-07-282022-08-14008021,1,1,1,1,1,1,1,20220728,20220814                                                                                                                                                                                                                                                                                                    
2022-08-162022-10-11008021,1,1,1,1,1,1,1,20220816,20221011                                                                                                                                                                                                                                                                                                    
2022-10-132022-10-21008021,1,1,1,1,1,1,1,20221013,20221021                                                                                                                                                                                                                                                                                                    
2022-09-042022-09-09010711,1,1,1,1,1,1,1,20220904,20220909                                                                                                                                                                                                                                                                                                    
2022-09-112022-09-14010711,1,1,1,1,1,1,1,20220911,20220914                                                                                                                                                                                                                                                                                                    
2022-09-152022-09-16010711,1,1,1,1,1,1,1,20220915,20220916                                                                                                                                                                                                                                                                                                    
2022-09-182022-09-23010711,1,1,1,1,1,1,1,20220918,20220923                                                                                                                                                                                                                                                                                                    
2022-09-252022-09-30010711,1,1,1,1,1,1,1,20220925,20220930                                                                                                                                                                                                                                                                                                    
2022-10-022022-10-07010711,1,1,1,1,1,1,1,20221002,20221007                                                                                                                                                                                                                                                                                                    
2022-10-092022-10-11010711,1,1,1,1,1,1,1,20221009,20221011                                                                                                                                                                                                                                                                                                    
2022-10-132022-10-14010711,1,1,1,1,1,1,1,20221013,20221014                                                                                                                                                                                                                                                                                                    
2022-10-162022-10-21010711,1,1,1,1,1,1,1,20221016,20221021                                                                                                                                                                                                                                                                                                    
2022-10-232022-10-28010711,1,1,1,1,1,1,1,20221023,20221028                                                                                                                                                                                                                                                                                                    
